tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites2017,unicast2017,combined2017,|,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4,sites21,unicast21,combined21,classification17,classification21
new.,5,5,5,5,26,26,0,26,0,26,|,5,5,5,4,27,27,1,27,1,28,Anycast,Mixed
cfa.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
vivo.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,99,99,0,99,0,99,Anycast,Anycast
insurance.,4,4,4,4,22,22,0,22,0,22,|,6,6,6,6,105,105,0,105,0,105,Anycast,Anycast
afamilycompany.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
solutions.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
estate.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
xn--4gbrim.,4,4,4,4,33,33,0,33,0,33,|,4,4,4,4,54,54,0,54,0,54,Anycast,Anycast
athleta.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
lighting.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
shiksha.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,51,51,0,51,0,51,Anycast,Anycast
financial.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
zone.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
partners.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
aquarelle.,3,3,3,2,62,62,1,62,1,63,|,3,3,3,3,68,68,0,68,0,68,Mixed,Anycast
shouji.,4,4,4,3,9,9,1,9,1,10,|,4,4,4,3,10,10,1,10,1,11,Mixed,Mixed
loans.,4,4,4,4,34,34,0,34,0,34,|,4,4,4,4,73,73,0,73,0,73,Anycast,Anycast
discover.,6,6,6,6,65,65,0,65,0,65,|,6,6,6,6,74,74,0,74,0,74,Anycast,Anycast
pet.,4,4,4,4,32,32,0,32,0,32,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
phone.,4,4,4,4,35,35,0,35,0,35,|,4,4,4,4,50,50,0,50,0,50,Anycast,Anycast
xn--3e0b707e.,6,6,6,0,0,0,6,0,6,6,|,6,6,6,0,0,0,6,0,6,6,Unicast,Unicast
rexroth.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
berlin.,3,3,3,2,10,10,1,10,1,11,|,3,3,3,2,21,21,1,21,1,22,Mixed,Mixed
