ve.,7,7,7,1,4,4,6,4,6,10,|,5,5,5,0,0,0,5,0,5,5,Mixed,Unicast
bo.,4,4,4,1,35,35,3,35,3,38,|,4,4,4,1,37,37,3,37,3,40,Mixed,Mixed
ht.,5,5,5,3,50,50,2,50,2,52,|,5,5,5,1,37,37,4,37,4,41,Mixed,Mixed
pm.,5,5,5,3,66,66,2,66,2,68,|,4,4,4,3,68,68,1,68,1,69,Mixed,Mixed
ca.,4,4,4,4,54,54,0,54,0,54,|,4,4,4,4,62,62,0,62,0,62,Anycast,Anycast
uz.,7,7,7,0,0,0,7,0,7,7,|,8,8,8,1,3,3,7,3,7,10,Unicast,Mixed
sn.,5,5,5,0,0,0,5,0,5,5,|,5,5,5,2,9,9,3,9,3,12,Unicast,Mixed
ao.,6,6,6,0,0,0,6,0,6,6,|,3,3,3,2,61,61,1,61,1,62,Unicast,Mixed
ma.,7,7,7,1,4,4,6,4,6,10,|,8,8,8,1,6,6,7,6,7,13,Mixed,Mixed
gh.,4,4,4,0,0,0,4,0,4,4,|,3,3,3,0,0,0,3,0,3,3,Unicast,Unicast
ky.,4,4,4,4,23,23,0,23,0,23,|,4,4,4,4,27,27,0,27,0,27,Anycast,Anycast
no.,6,6,6,3,42,42,3,42,3,45,|,6,6,6,3,64,64,3,64,3,67,Mixed,Mixed
tj.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,2,5,5,2,5,2,7,Unicast,Mixed
eg.,3,3,3,0,0,0,3,0,3,3,|,3,3,3,0,0,0,3,0,3,3,Unicast,Unicast
ls.,5,5,5,1,35,35,4,35,4,39,|,4,4,4,2,41,41,2,41,2,43,Mixed,Mixed
gt.,4,4,4,2,39,39,2,39,2,41,|,6,6,6,4,78,78,2,78,2,80,Mixed,Mixed
dj.,2,2,2,0,0,0,2,0,2,2,|,3,3,3,0,0,0,3,0,3,3,Unicast,Unicast
ke.,5,5,5,2,45,45,3,45,3,48,|,5,5,5,3,73,73,2,73,2,75,Mixed,Mixed
hu.,7,7,7,2,28,28,5,28,5,33,|,7,7,7,2,37,37,5,37,5,42,Mixed,Mixed
pn.,4,4,4,1,4,4,3,4,3,7,|,5,5,5,3,45,45,2,45,2,47,Mixed,Mixed
za.,5,5,5,3,63,63,2,63,2,65,|,3,3,3,2,61,61,1,61,1,62,Mixed,Mixed
fm.,6,6,6,6,69,69,0,69,0,69,|,6,6,6,6,103,103,0,103,0,103,Anycast,Anycast
uk.,8,8,8,8,50,50,0,50,0,50,|,8,8,8,8,94,94,0,94,0,94,Anycast,Anycast
uy.,8,8,8,2,8,8,6,8,6,14,|,8,8,8,2,21,21,6,21,6,27,Mixed,Mixed
mr.,4,4,4,0,0,0,4,0,4,4,|,6,6,6,3,47,47,3,47,3,50,Unicast,Mixed
ax.,3,3,3,0,0,0,3,0,3,3,|,4,4,4,0,0,0,4,0,4,4,Unicast,Unicast
sa.,7,7,7,1,35,35,6,35,6,41,|,7,7,7,2,61,61,5,61,5,66,Mixed,Mixed
pr.,5,5,5,1,35,35,4,35,4,39,|,8,8,8,8,98,98,0,98,0,98,Mixed,Anycast
ge.,4,4,4,1,6,6,3,6,3,9,|,5,5,5,1,3,3,4,3,4,7,Mixed,Mixed
tk.,4,4,4,4,24,24,0,24,0,24,|,4,4,4,4,12,12,0,12,0,12,Anycast,Anycast
nl.,8,8,8,2,28,28,6,28,6,34,|,3,3,3,3,48,48,0,48,0,48,Mixed,Anycast
vu.,5,5,5,0,0,0,5,0,5,5,|,4,4,4,4,73,73,0,73,0,73,Unicast,Anycast
gw.,3,3,3,1,4,4,2,4,2,6,|,3,3,3,2,61,61,1,61,1,62,Mixed,Mixed
dk.,6,6,6,2,42,42,4,42,4,46,|,7,7,7,3,58,58,4,58,4,62,Mixed,Mixed
gi.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
bm.,6,6,6,6,47,47,0,47,0,47,|,6,6,6,6,87,87,0,87,0,87,Anycast,Anycast
yt.,5,5,5,3,66,66,2,66,2,68,|,4,4,4,3,68,68,1,68,1,69,Mixed,Mixed
cc.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
mq.,3,3,3,0,0,0,3,0,3,3,|,2,2,2,0,0,0,2,0,2,2,Unicast,Unicast
pa.,7,7,7,1,4,4,6,4,6,10,|,6,6,6,0,0,0,6,0,6,6,Mixed,Unicast
ps.,6,6,6,1,35,35,5,35,5,40,|,6,6,6,2,40,40,4,40,4,44,Mixed,Mixed
am.,6,6,6,3,61,61,3,61,3,64,|,4,4,4,2,57,57,2,57,2,59,Mixed,Mixed
mo.,7,7,7,1,22,22,6,22,6,28,|,7,7,7,1,20,20,6,20,6,26,Mixed,Mixed
gd.,4,4,4,3,49,49,1,49,1,50,|,4,4,4,4,65,65,0,65,0,65,Mixed,Anycast
td.,3,3,3,0,0,0,3,0,3,3,|,4,4,4,2,41,41,2,41,2,43,Unicast,Mixed
sr.,2,2,2,0,0,0,2,0,2,2,|,2,2,2,0,0,0,2,0,2,2,Unicast,Unicast
ac.,7,7,7,4,58,58,3,58,3,61,|,4,4,4,4,54,54,0,54,0,54,Mixed,Anycast
dz.,6,6,6,1,35,35,5,35,5,40,|,6,6,6,3,44,44,3,44,3,47,Mixed,Mixed
tv.,4,4,4,4,22,22,0,22,0,22,|,4,4,4,4,31,31,0,31,0,31,Anycast,Anycast
sx.,3,3,3,0,0,0,3,0,3,3,|,2,2,2,2,19,19,0,19,0,19,Unicast,Anycast
fi.,9,9,9,5,94,94,4,94,4,98,|,9,9,9,5,103,103,4,103,4,107,Mixed,Mixed
bj.,5,5,5,0,0,0,5,0,5,5,|,4,4,4,1,37,37,3,37,3,40,Unicast,Mixed
mp.,4,4,4,0,0,0,4,0,4,4,|,4,4,4,0,0,0,4,0,4,4,Unicast,Unicast
ws.,6,6,6,0,0,0,6,0,6,6,|,6,6,6,1,4,2,4,2,4,6,Unicast,Mixed
al.,4,4,4,1,5,5,3,5,3,8,|,4,4,4,1,5,5,3,5,3,8,Mixed,Mixed
pt.,9,9,9,4,50,50,5,50,5,55,|,9,9,9,4,85,85,5,85,5,90,Mixed,Mixed
sc.,7,7,7,6,47,47,1,47,1,48,|,7,7,7,6,87,87,1,87,1,88,Mixed,Mixed
mn.,10,10,10,6,47,47,4,47,4,51,|,10,10,10,6,87,87,4,87,4,91,Mixed,Mixed
