ip4_prefix,number
104.24.246.0,43
104.28.58.0,44
35.190.80.0,24
107.162.136.0,7
104.27.72.0,45
104.16.142.0,44
65.22.219.0,22
208.93.17.0,4
65.22.137.0,4
151.101.168.0,12
156.154.64.0,13
104.25.249.0,40
104.25.182.0,40
185.151.141.0,5
65.22.41.0,4
65.22.119.0,20
104.17.158.0,43
104.25.218.0,40
35.190.91.0,27
104.17.222.0,45
104.17.56.0,45
104.19.50.0,43
140.205.122.0,6
198.41.0.0,6
172.64.111.0,42
104.23.120.0,45
65.22.76.0,4
104.25.79.0,44
172.64.66.0,34
104.17.105.0,43
104.37.179.0,7
104.17.139.0,43
104.16.214.0,44
35.190.87.0,25
104.17.229.0,43
69.172.216.0,5
195.253.65.0,4
104.17.104.0,40
192.254.124.0,3
35.190.114.0,28
104.17.68.0,44
104.28.164.0,40
162.159.225.0,44
104.25.71.0,44
130.211.16.0,27
35.186.245.0,28
192.158.244.0,10
104.18.52.0,37
168.245.62.0,3
200.236.136.0,2
141.101.121.0,39
35.190.72.0,24
104.31.135.0,40
104.16.153.0,43
64.185.179.0,15
35.190.116.0,29
69.171.239.0,18
192.0.74.0,18
104.16.149.0,43
104.24.127.0,40
130.211.6.0,29
167.89.64.0,3
72.0.60.0,24
35.190.37.0,29
172.64.74.0,35
199.253.59.0,4
172.64.108.0,42
104.28.202.0,40
194.0.41.0,6
104.18.48.0,38
156.154.126.0,10
199.116.165.0,4
104.31.68.0,40
172.64.69.0,34
104.24.167.0,40
130.211.44.0,29
104.17.152.0,43
104.16.102.0,45
151.249.124.0,4
107.154.196.0,6
104.25.83.0,40
162.159.215.0,39
104.24.38.0,45
192.230.91.0,2
151.101.176.0,13
104.16.165.0,45
192.16.37.0,9
104.28.17.0,40
107.154.71.0,2
104.31.67.0,40
107.154.155.0,6
104.16.175.0,44
64.145.73.0,5
104.16.13.0,42
104.28.141.0,42
104.20.94.0,45
194.14.236.0,5
104.19.203.0,43
96.7.50.0,9
104.24.112.0,40
104.19.62.0,45
72.42.118.0,23
192.82.137.0,7
104.20.2.0,44
151.101.229.0,13
104.24.215.0,42
104.19.193.0,40
104.24.7.0,42
104.20.223.0,44
104.17.3.0,43
104.31.199.0,37
104.17.223.0,43
104.25.102.0,43
216.59.60.0,3
104.25.130.0,42
104.25.91.0,40
70.40.7.0,9
104.24.197.0,40
185.190.83.0,6
150.164.41.0,2
42.83.132.0,2
172.64.20.0,15
13.107.42.0,23
104.20.219.0,45
194.68.45.0,6
104.24.69.0,43
192.225.211.0,4
172.64.25.0,15
72.8.190.0,5
65.22.17.0,4
162.159.17.0,45
104.16.126.0,43
104.20.40.0,42
104.17.153.0,43
156.154.168.0,6
199.249.127.0,13
104.19.103.0,45
104.25.137.0,42
150.164.119.0,2
23.185.0.0,19
200.133.255.0,2
107.154.140.0,5
104.25.213.0,40
208.78.71.0,15
104.27.164.0,40
104.18.5.0,42
12.120.58.0,6
150.164.182.0,2
104.24.61.0,42
162.159.221.0,37
172.64.33.0,12
216.59.56.0,5
162.88.61.0,13
168.245.38.0,3
23.45.77.0,4
151.101.170.0,13
104.20.18.0,44
104.19.135.0,39
162.159.239.0,44
104.20.6.0,43
68.232.44.0,8
104.20.153.0,45
172.64.34.0,12
130.211.15.0,26
104.28.210.0,42
104.19.27.0,43
185.61.8.0,2
104.28.91.0,43
12.120.57.0,7
202.49.64.0,3
162.159.131.0,40
107.154.135.0,4
104.31.6.0,42
1.8.152.0,4
104.28.81.0,44
104.16.136.0,44
173.194.241.0,10
65.22.55.0,22
64.86.235.0,7
104.29.65.0,37
104.16.182.0,45
104.24.52.0,43
104.27.150.0,40
104.19.38.0,44
107.154.86.0,5
35.190.39.0,30
207.172.3.0,3
104.27.118.0,40
162.159.208.0,44
104.28.44.0,40
125.208.44.0,5
104.27.169.0,40
104.16.97.0,42
35.190.64.0,27
65.22.28.0,4
104.16.245.0,44
104.27.209.0,40
93.170.91.0,5
104.25.139.0,42
104.25.207.0,40
104.25.80.0,42
104.31.95.0,40
104.28.18.0,40
104.24.31.0,42
104.27.92.0,43
185.193.36.0,5
104.27.111.0,43
104.23.117.0,46
104.17.233.0,42
173.194.87.0,10
107.154.150.0,6
141.101.115.0,44
104.28.117.0,40
104.23.205.0,46
104.25.233.0,43
104.20.114.0,42
173.194.245.0,10
