tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
foodnetwork.,4,4,4,4,22,22,0
kerrylogistics.,4,4,4,4,22,22,0
nokia.,4,4,4,4,35,35,0
xn--1ck2e1b.,6,6,6,6,69,69,0
lancia.,4,4,4,4,33,33,0
room.,6,6,6,6,65,65,0
lincoln.,6,6,6,6,65,65,0
seat.,4,4,4,2,18,9,0
tc.,8,8,8,0,0,0,8
store.,4,4,4,4,29,29,0
sandvik.,4,4,4,4,34,34,0
chrysler.,4,4,4,4,33,33,0
delta.,4,4,4,4,33,33,0
gm.,3,3,3,0,0,0,3
nissan.,4,4,4,4,34,34,0
jcb.,4,4,4,4,34,34,0
ad.,6,6,6,0,0,0,6
sk.,4,4,4,1,4,4,3
loan.,6,6,6,6,65,65,0
zip.,5,5,5,5,26,26,0
ford.,6,6,6,6,65,65,0
walter.,4,4,4,4,34,34,0
xn--p1acf.,4,4,4,4,61,61,0
mit.,4,4,4,4,33,33,0
xn--mxtq1m.,4,4,4,0,0,0,4
kred.,6,6,6,6,65,65,0
jcp.,4,4,4,4,34,34,0
xn--yfro4i67o.,5,5,5,3,62,62,2
sbi.,4,4,4,4,35,35,0
frontdoor.,4,4,4,4,22,22,0
bofa.,4,4,4,4,22,22,0
epson.,4,4,4,4,34,34,0
kr.,6,6,6,0,0,0,6
unicom.,6,6,6,6,65,65,0
abogado.,8,8,8,8,50,50,0
mlb.,6,6,6,6,65,65,0
now.,6,6,6,6,69,69,0
tui.,4,4,4,2,96,48,0
dvr.,4,4,4,4,33,33,0
kerryproperties.,4,4,4,4,22,22,0
es.,7,7,7,2,41,41,5
cbre.,6,6,6,6,65,65,0
tm.,7,7,7,4,58,58,3
xn--ogbpf8fl.,3,3,3,1,35,35,2
ryukyu.,6,6,6,6,48,48,0
fund.,4,4,4,4,34,34,0
insure.,4,4,4,4,34,34,0
xn--czrs0t.,4,4,4,4,34,34,0
engineering.,4,4,4,4,34,34,0
xn--8y0a063a.,6,6,6,6,65,65,0
associates.,4,4,4,4,34,34,0
airtel.,4,4,4,4,22,22,0
place.,4,4,4,4,34,34,0
dental.,4,4,4,4,34,34,0
smart.,4,4,4,2,15,15,2
flickr.,6,6,6,6,65,65,0
xn--11b4c3d.,4,4,4,4,22,22,0
goog.,5,5,5,5,26,26,0
rocher.,6,6,6,6,65,65,0
app.,5,5,5,5,26,26,0
aol.,4,4,4,4,22,22,0
spot.,6,6,6,6,69,69,0
xn--kcrx77d1x4a.,4,4,4,4,34,34,0
nyc.,6,6,6,6,65,65,0
ceo.,6,6,6,6,65,65,0
edeka.,4,4,4,4,32,32,0
dunlop.,4,4,4,4,37,37,0
garden.,8,8,8,8,50,50,0
xn--90a3ac.,6,6,6,3,63,63,3
nowruz.,4,4,4,4,61,61,0
helsinki.,4,4,4,4,35,35,0
hn.,3,3,3,2,39,39,1
vacations.,4,4,4,4,34,34,0
blog.,8,8,8,8,50,50,0
williamhill.,6,6,6,6,65,65,0
sas.,6,6,6,6,69,69,0
thd.,4,4,4,4,35,35,0
ftr.,6,6,6,6,65,65,0
in.,7,7,7,5,40,40,2
toray.,4,4,4,4,34,34,0
global.,4,4,4,4,35,35,0
my.,7,7,7,2,26,24,4
soccer.,4,4,4,4,34,34,0
click.,4,4,4,4,23,23,0
omega.,4,4,4,4,22,22,0
coffee.,4,4,4,4,34,34,0
compare.,4,4,4,4,34,34,0
jeep.,4,4,4,4,33,33,0
xerox.,4,4,4,4,22,22,0
boo.,5,5,5,5,26,26,0
axa.,6,6,6,6,65,65,0
news.,4,4,4,4,34,34,0
