tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
taipei.,6,6,6,6,65,65,0
apartments.,4,4,4,4,34,34,0
tatamotors.,4,4,4,4,22,22,0
ht.,5,5,5,3,50,50,2
tvs.,4,4,4,4,34,34,0
tickets.,4,4,4,4,29,29,0
rent.,4,4,4,4,29,29,0
pm.,5,5,5,3,66,66,2
xn--w4r85el8fhu5dnra.,4,4,4,4,22,22,0
jnj.,6,6,6,6,65,65,0
enterprises.,4,4,4,4,34,34,0
here.,5,5,5,5,26,26,0
management.,4,4,4,4,34,34,0
hughes.,4,4,4,4,33,33,0
case.,4,4,4,4,37,37,0
beer.,8,8,8,8,50,50,0
rio.,6,6,6,4,16,16,2
skype.,6,6,6,6,65,65,0
review.,6,6,6,6,69,69,0
hyatt.,6,6,6,6,65,65,0
ca.,4,4,4,4,54,54,0
christmas.,4,4,4,4,23,23,0
uz.,7,7,7,0,0,0,7
zappos.,6,6,6,6,65,65,0
chloe.,6,6,6,6,65,65,0
film.,4,4,4,4,34,34,0
xyz.,4,4,4,4,29,29,0
locker.,4,4,4,4,35,35,0
americanexpress.,6,6,6,6,65,65,0
htc.,6,6,6,6,65,65,0
sn.,5,5,5,0,0,0,5
ao.,6,6,6,0,0,0,6
jaguar.,4,4,4,4,22,22,0
bcg.,4,4,4,4,34,34,0
clothing.,4,4,4,4,34,34,0
ma.,7,7,7,1,4,4,6
nec.,4,4,4,4,34,34,0
tjx.,6,6,6,6,65,65,0
natura.,4,4,4,4,35,35,0
bmw.,4,4,4,2,96,48,0
pioneer.,4,4,4,4,34,34,0
dev.,5,5,5,5,26,26,0
baseball.,6,6,6,6,65,65,0
africa.,3,3,3,1,24,24,2
gh.,4,4,4,0,0,0,4
ifm.,4,4,4,2,18,9,0
ky.,4,4,4,4,23,23,0
commbank.,4,4,4,4,34,34,0
forex.,4,4,4,4,22,22,0
redumbrella.,4,4,4,4,31,31,0
emerck.,4,4,4,4,35,35,0
secure.,6,6,6,6,69,69,0
pin.,6,6,6,6,69,69,0
xn--mgbb9fbpob.,6,6,6,6,69,69,0
productions.,4,4,4,4,34,34,0
avianca.,4,4,4,4,35,35,0
taobao.,6,6,6,6,65,65,0
no.,6,6,6,3,42,42,3
fish.,4,4,4,4,34,34,0
tj.,4,4,4,0,0,0,4
pharmacy.,6,6,6,6,65,65,0
mom.,4,4,4,4,23,23,0
itau.,6,6,6,6,65,65,0
weather.,6,6,6,6,65,65,0
lancaster.,3,3,3,2,62,62,1
nba.,6,6,6,6,65,65,0
attorney.,4,4,4,4,34,34,0
eg.,3,3,3,0,0,0,3
ls.,5,5,5,1,35,35,4
ses.,4,4,4,4,22,22,0
physio.,4,4,4,4,34,34,0
ltda.,4,4,4,4,32,32,0
pnc.,4,4,4,4,35,35,0
education.,4,4,4,4,34,34,0
gt.,4,4,4,2,39,39,2
macys.,4,4,4,4,22,22,0
saxo.,4,4,4,4,34,34,0
epost.,4,4,4,1,10,5,2
xn--b4w605ferd.,4,4,4,4,35,35,0
dj.,2,2,2,0,0,0,2
got.,6,6,6,6,65,65,0
xn--cck2b3b.,6,6,6,6,65,65,0
car.,4,4,4,4,23,23,0
mopar.,4,4,4,4,33,33,0
tushu.,6,6,6,6,65,65,0
statefarm.,6,6,6,6,65,65,0
careers.,4,4,4,4,34,34,0
gap.,6,6,6,6,65,65,0
fire.,6,6,6,6,65,65,0
jlc.,6,6,6,6,65,65,0
viajes.,4,4,4,4,34,34,0
show.,4,4,4,4,34,34,0
protection.,4,4,4,4,29,29,0
xn--fpcrj9c3d.,8,8,8,6,46,46,2
ke.,5,5,5,2,45,45,3
shaw.,4,4,4,4,35,35,0
hu.,7,7,7,2,28,28,5
scb.,4,4,4,1,22,22,3
pn.,4,4,4,1,4,4,3
org.,6,6,6,6,47,47,0
surgery.,4,4,4,4,34,34,0
apple.,4,4,4,4,34,34,0
xn--y9a3aq.,6,6,6,3,61,61,3
za.,5,5,5,3,63,63,2
wed.,4,4,4,4,61,61,0
schule.,4,4,4,4,34,34,0
fm.,6,6,6,6,69,69,0
uk.,8,8,8,8,50,50,0
allfinanz.,4,4,4,2,96,48,0
earth.,6,6,6,6,65,65,0
xn--fzc2c9e2c.,8,8,8,2,57,57,6
page.,5,5,5,5,26,26,0
volvo.,4,4,4,4,22,22,0
intuit.,6,6,6,6,65,65,0
menu.,4,4,4,4,34,34,0
xn--fzys8d69uvgm.,4,4,4,4,36,36,0
cancerresearch.,4,4,4,4,34,34,0
ink.,4,4,4,4,29,29,0
budapest.,8,8,8,8,50,50,0
bet.,4,4,4,4,35,35,0
uy.,8,8,8,2,8,8,6
law.,8,8,8,8,50,50,0
xn--efvy88h.,9,9,9,2,9,6,6
exposed.,4,4,4,4,34,34,0
xn--9dbq2a.,4,4,4,4,22,22,0
mcd.,6,6,6,6,65,65,0
capitalone.,4,4,4,4,22,22,0
mr.,4,4,4,0,0,0,4
xn--42c2d9a.,4,4,4,4,22,22,0
ax.,3,3,3,0,0,0,3
gdn.,3,3,3,2,10,10,1
sa.,7,7,7,1,35,35,6
pr.,5,5,5,1,35,35,4
ren.,9,9,9,2,9,6,6
hamburg.,3,3,3,2,10,10,1
netbank.,4,4,4,4,34,34,0
science.,6,6,6,6,69,69,0
auction.,4,4,4,4,34,34,0
army.,4,4,4,4,34,34,0
ge.,4,4,4,1,6,6,3
lds.,4,4,4,4,35,35,0
baidu.,5,5,5,4,9,9,1
media.,4,4,4,4,34,34,0
xn--i1b6b1a6a2e.,4,4,4,4,35,35,0
wolterskluwer.,4,4,4,4,34,34,0
samsclub.,4,4,4,4,22,22,0
boston.,8,8,8,8,50,50,0
trade.,6,6,6,6,65,65,0
tk.,4,4,4,4,24,24,0
space.,4,4,4,4,29,29,0
nl.,8,8,8,2,28,28,6
onl.,4,4,4,4,37,37,0
nagoya.,6,6,6,6,48,48,0
next.,4,4,4,4,22,22,0
press.,4,4,4,4,29,29,0
coupon.,6,6,6,6,65,65,0
fage.,4,4,4,4,35,35,0
com.,13,13,13,13,98,98,0
hosting.,4,4,4,4,23,23,0
xn--w4rs40l.,4,4,4,4,22,22,0
guardian.,4,4,4,4,22,22,0
furniture.,4,4,4,4,34,34,0
vu.,5,5,5,0,0,0,5
gw.,3,3,3,1,4,4,2
cafe.,4,4,4,4,34,34,0
dk.,6,6,6,2,42,42,4
man.,4,4,4,2,18,9,0
date.,6,6,6,6,65,65,0
moscow.,4,4,4,2,9,9,2
pohl.,4,4,4,2,96,48,0
maserati.,4,4,4,4,33,33,0
gi.,6,6,6,6,47,47,0
industries.,4,4,4,4,34,34,0
datsun.,4,4,4,4,34,34,0
gratis.,4,4,4,4,34,34,0
dds.,8,8,8,8,50,50,0
wien.,4,4,4,2,18,18,2
site.,4,4,4,4,29,29,0
able.,6,6,6,6,65,65,0
xn--mgbbh1a71e.,8,8,8,6,46,46,2
fail.,4,4,4,4,34,34,0
ikano.,3,3,3,2,10,10,1
xn--s9brj9c.,8,8,8,6,46,46,2
singles.,4,4,4,4,34,34,0
bm.,6,6,6,6,47,47,0
observer.,4,4,4,4,29,29,0
xn--io0a7i.,5,5,5,4,13,13,1
samsung.,6,6,6,0,0,0,6
shop.,6,6,6,6,48,48,0
barclaycard.,4,4,4,4,34,34,0
games.,4,4,4,4,34,34,0
madrid.,4,4,4,2,18,9,0
pru.,6,6,6,6,65,65,0
ladbrokes.,4,4,4,4,22,22,0
prof.,5,5,5,5,26,26,0
dating.,4,4,4,4,34,34,0
zara.,4,4,4,4,35,35,0
xn--1qqw23a.,5,5,5,4,9,9,1
richardli.,4,4,4,4,37,37,0
cartier.,6,6,6,6,65,65,0
marriott.,4,4,4,4,33,33,0
sandvikcoromant.,4,4,4,4,34,34,0
legal.,4,4,4,4,34,34,0
life.,4,4,4,4,34,34,0
care.,4,4,4,4,34,34,0
art.,4,4,4,4,29,29,0
walmart.,4,4,4,4,22,22,0
sbs.,4,4,4,4,22,22,0
cars.,4,4,4,4,23,23,0
drive.,5,5,5,5,26,26,0
tips.,4,4,4,4,34,34,0
schmidt.,4,4,4,4,34,34,0
wtf.,4,4,4,4,34,34,0
adac.,4,4,4,1,10,5,2
download.,6,6,6,6,65,65,0
wales.,8,8,8,8,50,50,0
uol.,6,6,6,4,16,16,2
yt.,5,5,5,3,66,66,2
glade.,4,4,4,4,22,22,0
mortgage.,4,4,4,4,34,34,0
cc.,4,4,4,4,22,22,0
