tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
catholic.,4,4,4,4,73,73,0
chat.,4,4,4,4,73,73,0
sanofi.,4,4,4,4,31,31,0
flir.,6,6,6,6,74,74,0
fresenius.,4,4,4,4,65,65,0
international.,4,4,4,4,73,73,0
you.,8,8,8,8,94,94,0
bj.,4,4,4,1,37,37,3
amfam.,4,4,4,4,31,31,0
organic.,4,4,4,4,52,52,0
services.,4,4,4,4,73,73,0
memorial.,4,4,4,4,73,73,0
land.,4,4,4,4,73,73,0
ubank.,4,4,4,4,31,31,0
star.,4,4,4,4,51,51,0
cat.,6,6,6,3,48,48,3
xn--c1avg.,4,4,4,4,53,53,0
nextdirect.,4,4,4,4,31,31,0
realestate.,4,4,4,4,31,31,0
shell.,4,4,4,4,31,31,0
dish.,4,4,4,4,51,51,0
final.,6,6,6,5,25,25,1
gift.,4,4,4,4,27,27,0
claims.,4,4,4,4,73,73,0
pramerica.,6,6,6,6,74,74,0
tmall.,6,6,6,6,74,74,0
as.,6,6,6,6,78,78,0
catering.,4,4,4,4,73,73,0
website.,4,4,4,4,65,65,0
tatar.,5,5,5,0,0,0,5
call.,8,8,8,8,94,94,0
xn--czru2d.,8,8,8,4,19,15,3
hospital.,4,4,4,4,73,73,0
mutual.,6,6,6,6,74,74,0
mormon.,4,4,4,4,49,49,0
sale.,4,4,4,4,73,73,0
arab.,4,4,4,4,73,73,0
ads.,5,5,5,4,27,27,1
video.,4,4,4,4,73,73,0
goog.,5,5,5,4,27,27,1
globo.,6,6,6,5,25,25,1
mp.,4,4,4,0,0,0,4
accenture.,4,4,4,4,31,31,0
xn--d1acj3b.,5,5,5,0,0,0,5
ws.,6,6,6,1,4,2,4
yokohama.,4,4,4,4,73,73,0
jewelry.,4,4,4,4,73,73,0
pt.,9,9,9,4,85,85,5
sc.,7,7,7,6,87,87,1
talk.,8,8,8,8,94,94,0
cbn.,6,6,6,6,74,74,0
hiphop.,4,4,4,4,27,27,0
mn.,10,10,10,6,87,87,4
xn--vuq861b.,4,4,4,3,10,10,1
qpon.,4,4,4,4,65,65,0
zm.,3,3,3,2,69,69,1
gmail.,5,5,5,4,27,27,1
supplies.,4,4,4,4,73,73,0
viking.,4,4,4,4,55,55,0
blackfriday.,4,4,4,4,27,27,0
anquan.,4,4,4,3,10,10,1
alsace.,3,3,3,3,68,68,0
solar.,4,4,4,4,73,73,0
hsbc.,6,6,6,6,74,74,0
redstone.,4,4,4,4,50,50,0
kz.,2,2,2,1,3,3,1
xn--ses554g.,8,8,8,4,19,15,3
olayan.,4,4,4,4,73,73,0
miami.,8,8,8,8,96,96,0
villas.,4,4,4,4,73,73,0
contractors.,4,4,4,4,73,73,0
deals.,4,4,4,4,73,73,0
cyou.,4,4,4,4,65,65,0
tires.,4,4,4,4,73,73,0
xn--mgba7c0bbn0a.,4,4,4,4,73,73,0
su.,5,5,5,0,0,0,5
homegoods.,6,6,6,6,74,74,0
xn--zfr164b.,5,5,5,0,0,0,5
plus.,4,4,4,4,73,73,0
toshiba.,4,4,4,4,73,73,0
linde.,4,4,4,4,31,31,0
foundation.,4,4,4,4,73,73,0
travel.,4,4,4,4,73,73,0
desi.,4,4,4,4,65,65,0
citic.,8,8,8,4,19,15,3
horse.,8,8,8,8,96,96,0
vuelos.,6,6,6,6,74,74,0
gq.,4,4,4,4,19,19,0
post.,6,6,6,6,51,51,0
flowers.,4,4,4,4,27,27,0
watch.,4,4,4,4,73,73,0
otsuka.,4,4,4,4,73,73,0
social.,4,4,4,4,73,73,0
vi.,4,4,4,2,41,39,1
limo.,4,4,4,4,73,73,0
market.,4,4,4,4,73,73,0
abudhabi.,4,4,4,4,73,73,0
tw.,10,10,10,2,44,44,8
hdfc.,4,4,4,4,51,51,0
online.,4,4,4,4,65,65,0
hisamitsu.,4,4,4,4,73,73,0
toyota.,4,4,4,4,73,73,0
giving.,4,4,4,4,73,73,0
bank.,6,6,6,6,105,105,0
eat.,5,5,5,4,27,27,1
jpmorgan.,6,6,6,6,74,74,0
xn--j1aef.,4,4,4,4,31,31,0
verisign.,4,4,4,4,31,31,0
bosch.,4,4,4,4,31,31,0
tushu.,8,8,8,8,94,94,0
autos.,4,4,4,4,46,46,0
prod.,5,5,5,4,27,27,1
gallo.,4,4,4,4,31,31,0
bentley.,8,8,8,8,89,89,0
map.,5,5,5,4,27,27,1
xxx.,4,4,4,4,87,87,0
foo.,5,5,5,4,27,27,1
temasek.,4,4,4,4,49,49,0
goo.,4,4,4,4,73,73,0
rw.,5,5,5,2,41,41,3
lixil.,4,4,4,4,73,73,0
frogans.,4,4,4,4,52,52,0
realty.,4,4,4,4,65,65,0
gmo.,4,4,4,4,73,73,0
xn--h2brj9c8c.,6,6,6,6,113,113,0
lifestyle.,4,4,4,4,31,31,0
charity.,4,4,4,4,73,73,0
athleta.,6,6,6,6,74,74,0
soy.,5,5,5,4,27,27,1
author.,8,8,8,8,94,94,0
it.,6,6,6,2,33,33,4
lk.,8,8,8,1,37,37,7
scot.,4,4,4,2,24,12,0
radio.,4,4,4,2,24,12,0
trading.,4,4,4,4,65,65,0
panasonic.,4,4,4,4,73,73,0
xn--qxam.,5,5,5,2,25,25,3
maison.,4,4,4,4,73,73,0
lat.,6,6,6,5,78,78,1
nc.,4,4,4,2,43,43,2
parts.,4,4,4,4,73,73,0
house.,4,4,4,4,73,73,0
energy.,4,4,4,4,73,73,0
ms.,2,2,2,1,37,37,1
reliance.,4,4,4,4,51,51,0
mm.,4,4,4,4,73,73,0
sb.,3,3,3,3,100,100,0
merckmsd.,4,4,4,4,31,31,0
progressive.,4,4,4,4,51,51,0
beats.,4,4,4,4,51,51,0
frl.,4,4,4,4,65,65,0
xn--tiq49xqyj.,4,4,4,4,73,73,0
computer.,4,4,4,4,73,73,0
shopping.,4,4,4,4,73,73,0
blue.,5,5,5,4,66,51,0
gf.,2,2,2,0,0,0,2
bzh.,3,3,3,3,68,68,0
voto.,4,4,4,4,55,55,0
erni.,4,4,4,2,24,12,0
cleaning.,4,4,4,4,73,73,0
trust.,4,4,4,4,27,27,0
amica.,6,6,6,6,74,74,0
silk.,8,8,8,8,94,94,0
black.,4,4,4,4,52,52,0
travelersinsurance.,4,4,4,4,51,51,0
tf.,4,4,4,3,68,68,1
doctor.,4,4,4,4,73,73,0
hgtv.,4,4,4,4,31,31,0
bostik.,3,3,3,3,68,68,0
lifeinsurance.,6,6,6,6,74,74,0
taxi.,4,4,4,4,73,73,0
family.,4,4,4,4,73,73,0
st.,4,4,4,1,2,2,3
cookingchannel.,4,4,4,4,31,31,0
xn--jlq61u9w7b.,4,4,4,4,54,54,0
xn--ngbrx.,4,4,4,4,73,73,0
itv.,4,4,4,4,51,51,0
property.,4,4,4,4,27,27,0
vision.,4,4,4,4,73,73,0
xn--h2brj9c.,6,6,6,6,113,113,0
zuerich.,4,4,4,4,65,65,0
digital.,4,4,4,4,73,73,0
lasalle.,4,4,4,4,50,50,0
xn--6frz82g.,4,4,4,4,51,51,0
sex.,4,4,4,4,87,87,0
abarth.,4,4,4,4,51,51,0
weber.,4,4,4,4,31,31,0
rsvp.,5,5,5,4,27,27,1
webcam.,6,6,6,6,99,99,0
finance.,4,4,4,4,73,73,0
gp.,5,5,5,3,15,15,2
mobile.,4,4,4,4,50,50,0
hot.,8,8,8,8,94,94,0
builders.,4,4,4,4,73,73,0
je.,6,6,6,6,78,78,0
search.,5,5,5,4,27,27,1
xn--mgbx4cd0ab.,6,6,6,4,65,65,2
vn.,7,7,7,2,57,57,5
gop.,8,8,8,8,96,96,0
tube.,6,6,6,6,99,99,0
hotels.,6,6,6,6,99,99,0
fashion.,8,8,8,8,96,96,0
dealer.,4,4,4,4,27,27,0
bz.,6,6,6,6,87,87,0
arte.,4,4,4,4,31,31,0
bh.,4,4,4,4,65,65,0
diamonds.,4,4,4,4,73,73,0
li.,7,7,7,4,99,99,3
schwarz.,4,4,4,4,65,65,0
security.,4,4,4,4,65,65,0
bond.,4,4,4,4,65,65,0
flights.,4,4,4,4,73,73,0
xn--gk3at1e.,6,6,6,6,99,99,0
dabur.,4,4,4,4,54,54,0
construction.,4,4,4,4,73,73,0
email.,4,4,4,4,73,73,0
lilly.,6,6,6,6,74,74,0
dvag.,4,4,4,4,65,65,0
restaurant.,4,4,4,4,73,73,0
comcast.,8,8,8,8,89,89,0
travelchannel.,4,4,4,4,31,31,0
cr.,6,6,6,5,67,67,1
network.,4,4,4,4,73,73,0
barefoot.,4,4,4,4,31,31,0
ug.,5,5,5,4,48,48,1
cd.,3,3,3,0,0,0,3
booking.,6,6,6,6,74,74,0
cash.,4,4,4,4,73,73,0
cruise.,4,4,4,4,55,55,0
pccw.,4,4,4,4,53,53,0
ieee.,6,6,6,6,74,74,0
bf.,3,3,3,0,0,0,3
ie.,6,6,6,2,41,41,4
rwe.,4,4,4,4,31,31,0
safety.,6,6,6,6,74,74,0
vodka.,8,8,8,8,96,96,0
mba.,4,4,4,4,73,73,0
city.,4,4,4,4,73,73,0
racing.,6,6,6,6,99,99,0
walmart.,4,4,4,4,31,31,0
xn--nqv7f.,4,4,4,4,53,53,0
capetown.,3,3,3,1,24,24,2
bot.,8,8,8,8,94,94,0
sohu.,8,8,8,4,19,15,3
kitchen.,4,4,4,4,73,73,0
vanguard.,4,4,4,4,31,31,0
tiffany.,4,4,4,4,31,31,0
institute.,4,4,4,4,73,73,0
hbo.,6,6,6,6,74,74,0
se.,10,10,10,4,48,48,6
ar.,7,7,7,2,40,40,5
bar.,4,4,4,4,65,65,0
monster.,4,4,4,4,65,65,0
ing.,5,5,5,4,27,27,1
motorcycles.,4,4,4,4,53,53,0
lanxess.,6,6,6,6,74,74,0
fan.,4,4,4,4,73,73,0
gallery.,4,4,4,4,73,73,0
repair.,4,4,4,4,73,73,0
nr.,4,4,4,1,2,2,3
town.,4,4,4,4,73,73,0
broker.,4,4,4,4,65,65,0
live.,4,4,4,4,73,73,0
xn--mgbayh7gpa.,5,5,5,1,3,3,4
melbourne.,4,4,4,4,73,73,0
ga.,4,4,4,4,19,19,0
edu.,13,13,13,13,129,129,0
fun.,4,4,4,4,65,65,0
jprs.,5,5,5,1,10,5,3
engineer.,4,4,4,4,73,73,0
tkmaxx.,6,6,6,6,74,74,0
ml.,4,4,4,4,19,19,0
xn--80aqecdr1a.,4,4,4,4,73,73,0
marshalls.,6,6,6,6,74,74,0
like.,8,8,8,8,94,94,0
tienda.,4,4,4,4,73,73,0
dance.,4,4,4,4,73,73,0
george.,4,4,4,4,31,31,0
audio.,4,4,4,4,27,27,0
tg.,8,8,8,0,0,0,8
beauty.,4,4,4,4,65,65,0
bs.,3,3,3,2,94,57,0
nico.,4,4,4,4,73,73,0
tiaa.,4,4,4,4,31,31,0
staples.,6,6,6,6,99,99,0
bbt.,4,4,4,4,31,31,0
nab.,4,4,4,4,31,31,0
obi.,4,4,4,4,31,31,0
xn--mix891f.,7,7,7,1,20,20,6
reise.,4,4,4,4,73,73,0
sy.,3,3,3,2,40,40,1
citadel.,6,6,6,6,74,74,0
holiday.,4,4,4,4,73,73,0
amex.,6,6,6,6,74,74,0
rocks.,4,4,4,4,73,73,0
lawyer.,4,4,4,4,73,73,0
kn.,3,3,3,3,100,100,0
theatre.,4,4,4,4,65,65,0
windows.,4,4,4,4,31,31,0
citi.,6,6,6,6,74,74,0
spreadbetting.,4,4,4,4,65,65,0
alipay.,4,4,4,4,53,53,0
how.,5,5,5,4,27,27,1
gs.,3,3,3,3,100,100,0
jp.,8,8,8,3,28,28,5
xn--wgbh1c.,3,3,3,0,0,0,3
lotto.,4,4,4,4,51,51,0
read.,8,8,8,8,94,94,0
dtv.,4,4,4,4,50,50,0
duck.,4,4,4,4,31,31,0
tools.,4,4,4,4,73,73,0
fairwinds.,4,4,4,4,31,31,0
boehringer.,4,4,4,4,52,52,0
mini.,4,4,4,4,65,65,0
hotmail.,4,4,4,4,31,31,0
pictet.,4,4,4,4,31,31,0
scholarships.,4,4,4,4,49,49,0
ltd.,4,4,4,4,73,73,0
nrw.,4,4,4,2,24,12,0
qa.,9,9,9,3,74,74,6
salon.,4,4,4,4,73,73,0
bayern.,8,8,8,8,96,96,0
bi.,5,5,5,3,44,44,2
bharti.,4,4,4,4,31,31,0
reit.,4,4,4,4,65,65,0
kuokgroup.,4,4,4,4,31,31,0
krd.,4,4,4,4,73,73,0
xfinity.,8,8,8,8,89,89,0
ee.,5,5,5,2,61,61,3
capital.,4,4,4,4,73,73,0
jot.,8,8,8,8,94,94,0
stockholm.,4,4,4,4,52,52,0
mattel.,6,6,6,6,74,74,0
xn--kprw13d.,6,6,6,2,44,44,4
tours.,4,4,4,4,73,73,0
jll.,4,4,4,4,50,50,0
jobs.,4,4,4,4,31,31,0
xn--mgbtx2b.,4,4,4,3,51,51,1
xn--5su34j936bgsg.,4,4,4,4,31,31,0
ru.,5,5,5,0,0,0,5
kaufen.,4,4,4,4,73,73,0
cg.,3,3,3,0,0,0,3
blockbuster.,4,4,4,4,51,51,0
dclk.,5,5,5,4,27,27,1
imdb.,8,8,8,8,94,94,0
weatherchannel.,6,6,6,6,74,74,0
istanbul.,4,4,4,4,53,53,0
bg.,6,6,6,2,46,46,4
id.,5,5,5,4,17,17,1
moda.,4,4,4,4,73,73,0
kerryhotels.,4,4,4,4,31,31,0
weibo.,4,4,4,4,51,51,0
mma.,3,3,3,3,68,68,0
works.,4,4,4,4,73,73,0
ping.,6,6,6,6,99,99,0
airbus.,4,4,4,4,31,31,0
agakhan.,4,4,4,4,54,54,0
med.,4,4,4,4,31,31,0
pro.,6,6,6,6,85,85,0
pe.,4,4,4,3,67,67,1
cricket.,6,6,6,6,74,74,0
hyundai.,4,4,4,4,73,73,0
contact.,4,4,4,4,73,73,0
xn--j1amh.,5,5,5,0,0,0,5
viva.,4,4,4,4,65,65,0
dupont.,6,6,6,6,74,74,0
xn--3bst00m.,8,8,8,4,19,15,3
tirol.,3,3,3,1,5,5,2
pw.,4,4,4,4,65,65,0
sd.,6,6,6,3,44,44,3
aq.,3,3,3,1,37,37,2
cbs.,4,4,4,4,52,52,0
gal.,4,4,4,2,24,12,0
chrome.,5,5,5,4,27,27,1
cuisinella.,4,4,4,4,73,73,0
ci.,6,6,6,3,43,43,3
xn--hxt814e.,8,8,8,4,19,15,3
ggee.,4,4,4,4,73,73,0
newholland.,4,4,4,4,53,53,0
holdings.,4,4,4,4,73,73,0
int.,6,6,6,3,11,11,3
kyoto.,4,4,4,4,73,73,0
barcelona.,4,4,4,2,24,12,0
xn--xhq521b.,5,5,5,4,15,15,1
open.,6,6,6,6,74,74,0
spa.,4,4,4,4,52,52,0
mk.,4,4,4,1,3,3,3
bio.,4,4,4,4,54,54,0
visa.,4,4,4,4,31,31,0
hockey.,4,4,4,4,73,73,0
sina.,4,4,4,4,49,49,0
alibaba.,4,4,4,4,50,50,0
schaeffler.,4,4,4,4,54,54,0
fans.,4,4,4,4,65,65,0
hkt.,4,4,4,4,53,53,0
xn--3oq18vl8pn36a.,4,4,4,4,52,52,0
smile.,8,8,8,8,94,94,0
sv.,8,8,8,3,11,11,5
ag.,6,6,6,6,87,87,0
ferrero.,6,6,6,6,74,74,0
xn--q7ce6a.,4,4,4,4,65,65,0
guitars.,4,4,4,4,27,27,0
london.,8,8,8,8,96,96,0
icbc.,4,4,4,4,53,53,0
ntt.,4,4,4,1,10,5,2
sx.,2,2,2,2,19,19,0
forsale.,4,4,4,4,73,73,0
adult.,4,4,4,4,87,87,0
ly.,5,5,5,3,43,43,2
eus.,4,4,4,2,24,12,0
xn--rovu88b.,6,6,6,6,99,99,0
actor.,4,4,4,4,73,73,0
na.,4,4,4,4,92,92,0
xn--9krt00a.,4,4,4,4,52,52,0
gr.,6,6,6,3,29,29,3
lego.,4,4,4,4,31,31,0
vlaanderen.,6,6,6,2,33,33,4
kindle.,8,8,8,8,94,94,0
bible.,6,6,6,6,99,99,0
xn--xkc2al3hye2a.,8,8,8,2,57,57,6
xn--bck1b9a5dre4c.,6,6,6,6,74,74,0
hiv.,4,4,4,4,27,27,0
tr.,6,6,6,1,41,41,5
xn--o3cw4h.,4,4,4,1,37,37,3
zappos.,8,8,8,8,94,94,0
center.,4,4,4,4,73,73,0
shia.,4,4,4,4,122,122,0
xn--6qq986b3xl.,8,8,8,4,19,15,3
farm.,4,4,4,4,73,73,0
markets.,4,4,4,4,65,65,0
bv.,3,3,3,0,0,0,3
xn--fiqs8s.,7,7,7,3,9,9,4
properties.,4,4,4,4,73,73,0
ubs.,4,4,4,4,31,31,0
help.,4,4,4,4,27,27,0
agency.,4,4,4,4,73,73,0
cheap.,4,4,4,4,73,73,0
xn--nyqy26a.,4,4,4,3,10,10,1
safe.,8,8,8,8,94,94,0
xn--fct429k.,6,6,6,6,99,99,0
tokyo.,4,4,4,4,73,73,0
xn--2scrj9c.,6,6,6,6,113,113,0
hk.,8,8,8,3,68,68,5
firmdale.,2,2,2,2,57,57,0
domains.,4,4,4,4,73,73,0
norton.,4,4,4,4,31,31,0
lidl.,4,4,4,4,65,65,0
youtube.,5,5,5,4,27,27,1
coop.,4,4,4,4,65,65,0
cf.,4,4,4,4,19,19,0
dhl.,4,4,4,4,65,65,0
xn--jlq480n2rg.,8,8,8,8,94,94,0
sap.,4,4,4,2,24,12,0
lv.,5,5,5,1,20,20,4
bd.,4,4,4,1,37,37,3
lplfinancial.,4,4,4,4,65,65,0
play.,5,5,5,4,27,27,1
fujitsu.,4,4,4,4,73,73,0
bradesco.,8,8,8,8,96,96,0
homes.,4,4,4,4,46,46,0
ally.,4,4,4,4,53,53,0
eco.,4,4,4,4,51,51,0
pf.,2,2,2,0,0,0,2
nfl.,6,6,6,6,74,74,0
amsterdam.,3,3,3,3,48,48,0
dentist.,4,4,4,4,73,73,0
xn--q9jyb4c.,5,5,5,4,27,27,1
xn--gckr3f0f.,6,6,6,6,99,99,0
nationwide.,4,4,4,4,31,31,0
box.,4,4,4,4,73,73,0
osaka.,6,6,6,6,74,74,0
name.,4,4,4,4,31,31,0
moto.,6,6,6,6,99,99,0
ba.,3,3,3,1,37,37,2
sg.,5,5,5,5,79,79,0
vip.,8,8,8,8,96,96,0
red.,4,4,4,4,54,54,0
oldnavy.,6,6,6,6,74,74,0
us.,6,6,6,6,102,102,0
ice.,4,4,4,4,31,31,0
ch.,7,7,7,4,99,99,3
xn--54b7fta0cc.,3,3,3,1,37,37,2
km.,3,3,3,1,4,4,2
hoteles.,6,6,6,6,99,99,0
msd.,4,4,4,4,31,31,0
np.,5,5,5,3,47,47,2
fit.,8,8,8,8,96,96,0
aero.,5,5,5,5,72,72,0
fiat.,4,4,4,4,52,52,0
xn--fhbei.,4,4,4,4,31,31,0
crs.,4,4,4,4,31,31,0
xin.,4,4,4,4,53,53,0
cologne.,3,3,3,1,5,5,2
bridgestone.,4,4,4,4,73,73,0
nowtv.,4,4,4,4,50,50,0
bcn.,4,4,4,2,24,12,0
abc.,4,4,4,4,31,31,0
nexus.,5,5,5,4,27,27,1
xn--xkc2dl3a5ee0h.,6,6,6,6,113,113,0
xn--mgbi4ecexp.,4,4,4,4,73,73,0
link.,4,4,4,4,27,27,0
wme.,4,4,4,4,65,65,0
kia.,4,4,4,4,73,73,0
af.,3,3,3,3,100,100,0
frontier.,6,6,6,6,74,74,0
chanel.,4,4,4,4,31,31,0
si.,7,7,7,6,117,117,1
luxe.,8,8,8,8,96,96,0
jetzt.,4,4,4,4,73,73,0
wow.,8,8,8,8,94,94,0
orange.,4,4,4,4,31,31,0
xn--vermgensberatung-pwb.,4,4,4,4,65,65,0
rmit.,4,4,4,4,73,73,0
xn--mgbcpq6gpa1a.,4,4,4,4,65,65,0
abbvie.,4,4,4,4,50,50,0
world.,4,4,4,4,73,73,0
swatch.,4,4,4,4,31,31,0
kp.,2,2,2,0,0,0,2
mov.,5,5,5,4,27,27,1
direct.,4,4,4,4,73,73,0
maif.,4,4,4,4,31,31,0
fedex.,4,4,4,4,50,50,0
gle.,5,5,5,4,27,27,1
eu.,5,5,5,3,49,49,2
xn--t60b56a.,4,4,4,4,31,31,0
technology.,4,4,4,4,73,73,0
degree.,4,4,4,4,73,73,0
xn--kput3i.,4,4,4,4,51,51,0
csc.,4,4,4,4,31,31,0
by.,5,5,5,0,0,0,5
immobilien.,4,4,4,4,73,73,0
ventures.,4,4,4,4,73,73,0
ec.,3,3,3,2,43,43,1
wine.,4,4,4,4,73,73,0
bw.,3,3,3,2,41,41,1
praxi.,6,6,6,6,74,74,0
xn--node.,5,5,5,5,56,56,0
xn--mgbca7dzdo.,4,4,4,4,73,73,0
vegas.,4,4,4,4,52,52,0
lt.,6,6,6,4,31,31,2
fly.,5,5,5,4,27,27,1
book.,8,8,8,8,94,94,0
godaddy.,4,4,4,4,52,52,0
studio.,4,4,4,4,73,73,0
support.,4,4,4,4,73,73,0
meme.,5,5,5,4,27,27,1
tennis.,4,4,4,4,73,73,0
re.,4,4,4,3,68,68,1
ipiranga.,6,6,6,6,74,74,0
cw.,7,7,7,1,3,3,6
xn--vermgensberater-ctb.,4,4,4,4,65,65,0
rs.,6,6,6,2,61,61,4
stc.,4,4,4,4,65,65,0
dm.,4,4,4,1,20,20,3
gea.,3,3,3,2,21,21,1
cy.,8,8,8,4,65,65,4
swiss.,7,7,7,3,53,29,0
haus.,4,4,4,4,73,73,0
be.,6,6,6,2,33,33,4
gay.,4,4,4,4,65,65,0
love.,4,4,4,4,65,65,0
top.,8,8,8,4,19,15,3
xn--pgbs0dh.,6,6,6,2,41,41,4
data.,4,4,4,4,50,50,0
baby.,4,4,4,4,65,65,0
investments.,4,4,4,4,73,73,0
pg.,5,5,5,0,0,0,5
softbank.,4,4,4,4,73,73,0
realtor.,4,4,4,4,31,31,0
florist.,4,4,4,4,73,73,0
chase.,6,6,6,6,74,74,0
gmbh.,4,4,4,4,73,73,0
bargains.,4,4,4,4,73,73,0
guru.,4,4,4,4,73,73,0
afl.,4,4,4,4,73,73,0
bananarepublic.,6,6,6,6,74,74,0
mckinsey.,4,4,4,4,52,52,0
accountant.,6,6,6,6,74,74,0
aw.,5,5,5,3,48,48,2
py.,6,6,6,3,45,45,3
cards.,4,4,4,4,73,73,0
fj.,3,3,3,1,2,2,2
ck.,4,4,4,0,0,0,4
locus.,8,8,8,8,89,89,0
xn--fiq228c5hs.,4,4,4,3,10,10,1
business.,4,4,4,4,73,73,0
statebank.,4,4,4,4,51,51,0
tab.,4,4,4,4,73,73,0
olayangroup.,4,4,4,4,73,73,0
ist.,4,4,4,4,53,53,0
xn--rhqv96g.,4,4,4,3,10,10,1
game.,4,4,4,4,27,27,0
komatsu.,4,4,4,4,73,73,0
sexy.,4,4,4,4,27,27,0
xn--4gbrim.,4,4,4,4,54,54,0
lease.,4,4,4,4,73,73,0
abb.,4,4,4,4,31,31,0
exchange.,4,4,4,4,73,73,0
docs.,5,5,5,4,27,27,1
mg.,5,5,5,1,37,37,4
one.,4,4,4,4,73,73,0
lamborghini.,4,4,4,4,52,52,0
brussels.,6,6,6,2,33,33,4
cruises.,4,4,4,4,73,73,0
xn--fjq720a.,4,4,4,4,73,73,0
gb.,3,3,3,0,0,0,3
golf.,4,4,4,4,73,73,0
team.,4,4,4,4,73,73,0
deloitte.,4,4,4,4,65,65,0
clubmed.,4,4,4,4,31,31,0
sh.,4,4,4,4,54,54,0
ae.,4,4,4,2,45,45,2
boutique.,4,4,4,4,73,73,0
honda.,4,4,4,4,73,73,0
sz.,3,3,3,1,3,3,2
democrat.,4,4,4,4,73,73,0
bike.,4,4,4,4,73,73,0
quebec.,4,4,4,2,24,12,0
broadway.,8,8,8,8,96,96,0
va.,6,6,6,1,3,3,5
codes.,4,4,4,4,73,73,0
latino.,4,4,4,4,51,51,0
pfizer.,6,6,6,6,74,74,0
sharp.,4,4,4,4,73,73,0
surf.,8,8,8,8,96,96,0
ng.,4,4,4,3,61,61,1
moe.,6,6,6,6,74,74,0
okinawa.,4,4,4,4,73,73,0
kfh.,4,4,4,4,65,65,0
netflix.,6,6,6,6,74,74,0
jo.,5,5,5,1,3,3,4
study.,4,4,4,4,73,73,0
xn--mgberp4a5d4ar.,7,7,7,2,61,61,5
stream.,6,6,6,6,99,99,0
vin.,4,4,4,4,73,73,0
xn--kpry57d.,6,6,6,2,44,44,4
yachts.,4,4,4,4,46,46,0
aeg.,4,4,4,4,31,31,0
design.,4,4,4,4,65,65,0
et.,2,2,2,0,0,0,2
tl.,3,3,3,3,100,100,0
lotte.,4,4,4,4,73,73,0
immo.,4,4,4,4,73,73,0
ups.,4,4,4,4,55,55,0
jio.,4,4,4,4,55,55,0
vana.,4,4,4,4,31,31,0
bt.,7,7,7,3,43,41,3
xn--pssy2u.,4,4,4,4,31,31,0
xn--1qqw23a.,5,5,5,4,15,15,1
discount.,4,4,4,4,73,73,0
fyi.,4,4,4,4,73,73,0
canon.,4,4,4,4,73,73,0
joy.,8,8,8,8,94,94,0
nf.,3,3,3,3,100,100,0
xn--unup4y.,4,4,4,4,73,73,0
lu.,6,6,6,4,89,89,2
fujixerox.,4,4,4,4,31,31,0
nike.,6,6,6,6,74,74,0
hm.,3,3,3,0,0,0,3
lacaixa.,4,4,4,2,24,12,0
travelers.,4,4,4,4,51,51,0
cv.,4,4,4,1,37,37,3
rich.,4,4,4,4,52,52,0
xn--80aswg.,4,4,4,2,24,12,0
grocery.,4,4,4,4,31,31,0
xn--55qx5d.,5,5,5,3,12,12,2
icu.,4,4,4,4,65,65,0
cx.,3,3,3,3,100,100,0
bb.,5,5,5,4,146,146,1
saarland.,4,4,4,4,65,65,0
ph.,4,4,4,3,66,66,1
io.,4,4,4,4,54,54,0
mz.,6,6,6,3,43,43,3
audi.,4,4,4,4,52,52,0
archi.,4,4,4,4,54,54,0
rip.,4,4,4,4,73,73,0
toys.,4,4,4,4,73,73,0
auspost.,4,4,4,4,73,73,0
fk.,3,3,3,0,0,0,3
fox.,6,6,6,6,74,74,0
cern.,4,4,4,4,52,52,0
xn--45q11c.,8,8,8,4,19,15,3
cfd.,4,4,4,4,65,65,0
diet.,4,4,4,4,27,27,0
inc.,4,4,4,4,27,27,0
tt.,4,4,4,3,46,46,1
cpa.,4,4,4,4,73,73,0
luxury.,4,4,4,4,65,65,0
mh.,2,2,2,0,0,0,2
work.,8,8,8,8,96,96,0
shoes.,4,4,4,4,73,73,0
host.,4,4,4,4,65,65,0
aws.,8,8,8,8,94,94,0
foodnetwork.,4,4,4,4,31,31,0
kerrylogistics.,4,4,4,4,31,31,0
nokia.,4,4,4,4,50,50,0
xn--1ck2e1b.,6,6,6,6,99,99,0
lancia.,4,4,4,4,52,52,0
room.,8,8,8,8,94,94,0
lincoln.,6,6,6,6,74,74,0
seat.,4,4,4,2,24,12,0
tc.,8,8,8,1,2,2,7
store.,4,4,4,4,65,65,0
sandvik.,4,4,4,4,73,73,0
delta.,4,4,4,4,52,52,0
gm.,3,3,3,1,4,4,2
nissan.,4,4,4,4,73,73,0
jcb.,4,4,4,4,73,73,0
ad.,5,5,5,1,3,3,4
sk.,7,7,7,4,65,65,3
loan.,6,6,6,6,74,74,0
zip.,5,5,5,4,27,27,1
ford.,6,6,6,6,74,74,0
walter.,4,4,4,4,73,73,0
xn--p1acf.,4,4,4,4,122,122,0
mit.,4,4,4,4,52,52,0
xn--mxtq1m.,4,4,4,0,0,0,4
xn--cckwcxetd.,8,8,8,8,94,94,0
kred.,4,4,4,4,65,65,0
xn--yfro4i67o.,5,5,5,5,79,79,0
sbi.,4,4,4,4,51,51,0
frontdoor.,4,4,4,4,31,31,0
bofa.,4,4,4,4,31,31,0
epson.,4,4,4,4,73,73,0
